Blue_Mountains
1250
4
Lake_Evendim 250 0 41
Michel_Delving 270 65 15
White_Towers 225 75 21
Grey_Havens 240 75 21

Grey_Havens
1200
3
White_Towers 100 95 8
Sarn_Ford 270 30 12
Blue_Mountains 240 75 21

White_Towers
1150
4
Michel_Delving 40 54 7
Hobbiton 70 62 6
Blue_Mountains 225 75 21
Grey_Havens 100 95 8

Michel_Delving
1075
5
Hobbiton 35 87 1
Brandy_Hall 80 79 6
Blue_Mountains 270 65 15
White_Towers 40 54 7
Lake_Evendim 110 2 55

Lake_Evendim
1025
3
Fornost 85 11 64
Michel_Delving 110 2 55
Blue_Mountains 250 0 41

Fornost
925
4
Weathertop 160 23 65
Rivendell 375 14 58
Lake_Evendim 85 11 64
Bree 115 41 38

Hobbiton
1050
5
Brandy_Hall 50 73 7
Bree 100 65 9
Sarn_Ford 130 47 27
White_Towers 70 62 6
Michel_Delving 35 87 1

Brandy_Hall
1000
3
Bree 50 68 6
Michel_Delving 80 79 6
Hobbiton 50 73 7

Bree 
900
5
Fornost 115 41 38
Weathertop 100 36 67
Sarn_Ford 105 40 35
Hobbiton 100 65 9
Brandy_Hall 50 68 6

Sarn_Ford
975
6
Weathertop 180 13 61
Rivendell 400 15 55
Isengard 500 0 72
Grey_Havens 270 30 12
Hobbiton 130 47 27
Bree1 05 40 35

Weathertop
825
4
Rivendell 230 50 4.5
Fornost 160 23 65
Bree 100 36 67
Sarn_Ford 180 13 61

Rivendell
580
7
North_Pass 100 2 6.5
Caradhras 60 25 6.5
Moria 180 15 9
Isengard 500 12 8.5
Fornost 375 14 58
Sarn_Ford 400 15 55
Weathertop 230 50 4.5

Caradhras
550
4
Carrock 70 0 7
Gladden_Fields 150 12 6
Lothlorien 300 32 5.5
Rivendell 60 25 6.5

North_Pass 
500
2
Carrock 80 0 7
Rivendell 100 2 6.5

Carrock 
450
6
Wood_Elves 175 12 8
Erebor 250 18 8
Esgaroth 240 24 8
Dol_Guldur 300 0 8.5
Caradhras 70 0 7
North_Pass 80 0 7

Gladden_Fields
500
5
Esgaroth 400 0 6
Dol_Guldur 175 2 8
Lothlorien 190 18 7
Caradhras 150 12 6
Moria 140 16 9.5

Lothlorien
660
5
Dol_Guldur 180 0 8.5
Isengard 240 28 8
Caradhras 300 32 5.5
Gladden_Fields 190 18 7
Moria 20 21 9.5

Isengard
890
4
Sarn_Ford 500 0 72
Rivendell 500 12 8.5
Lothlorien 240 28 8
Dol_Guldur 390 0 8.5

Moria
620
3
Gladden_Fields 140 16 9.5
Lothlorien 20 21 9.5
Rivendell 180 15 9

Dol_Guldur
500
4
Isengard 390 0 8.5
Carrock 300 0 8.5
Gladden_Fields 175 2 8
Lothlorien 180 0 8.5

Wood_Elves
275
3
Dale 90 84 2
Erebor 100 90 3
Carrock 175 12 8

Esgaroth
175
5
Dale 40 95 1.5
Erebor 50 98 1.5
Iron_Hills 175 82 3
Carrock 240 24 8
Gladden_Fields 400 0 6

Erebor
200
5
Iron_Hills 175 82 3
Carrock 250 18 8
Wood_Elves 175 12 8
Esgaroth 50 98 1.5
Dale 10 99 1

Dale
180
3
Erebor 10 99 1
Iron_Hills 200 91 3
Esgaroth 40 95 1.5

Iron_Hills
0
0

